r,alpha,beta,x
"[0.0929745824735856, 0.5443952703716058, 0.12506105490713437, 0.21730564549365428, 0.2072442967743976]","[0.14325226252337805, 0.12764604446713446, 0.13711199888070003, 0.10646172175028543, 0.06544295949837248]","[0.3869839653392972, 0.4064298095434179, 0.5416798871622994, 0.49961792890333034, 0.5420727173333835]","[14.325226252337805, 40.64298095434179, 13.711199888070002, 24.776296955413162, 6.544295949837248]"
"[0.1790690709410318, 0.2958032357668152, 0.49011886693439594, 0.1628380131361254, 0.4959625341147491]","[0.11204265332523528, 0.056867826722138894, 0.1365521621220267, 0.096755307064045, 0.07715902836450014]","[0.4260682978261138, 0.36067510456205365, 0.4396506771621413, 0.5079018027490151, 0.4448481531678373]","[11.204265332523528, 5.686782672213889, 28.94860597207434, 9.675530706404501, 44.48481531678373]"
"[0.1378082845580066, 0.08898345772445394, 0.45390907354236315, 0.2831251339042631, 0.16656706176818364]","[0.12340345526925696, 0.07742605907690031, 0.08338790071170055, 0.05744735049286331, 0.14480671312712162]","[0.5176723442613482, 0.3620904618733377, 0.36402250253144264, 0.38818918903581157, 0.4835294561464025]","[12.340345526925695, 7.742605907690031, 36.40225025314427, 29.03412699952785, 14.480671312712163]"
"[0.24593386627925762, 0.3968217763718807, 0.40293144667794745, 0.2904382520439528, 0.26392682941855505]","[0.11003813961653464, 0.12390468755027371, 0.09218301776026533, 0.1155296082162239, 0.0589356135925726]","[0.4426579144897823, 0.5474999916626052, 0.40613937405409595, 0.39330825206529596, 0.5040251888176992]","[11.003813961653464, 30.93572645205729, 40.613937405409594, 11.55296082162239, 5.89356135925726]"
"[0.3584194883379478, 0.21033302076897709, 0.48106105350515205, 0.25306595998038034, 0.2651839281320758]","[0.11130318633787836, 0.11937153170895841, 0.1025518055815142, 0.08971920159169258, 0.13621319096197532]","[0.5330052222176078, 0.5405464580829464, 0.5164120436103907, 0.37448752378084, 0.5493705204003034]","[13.82840321269829, 11.93715317089584, 51.64120436103907, 8.971920159169258, 13.621319096197531]"
"[0.4877093352425744, 0.46822111374200337, 0.4415419685212033, 0.08724812526947569, 0.2795537522146155]","[0.067914442409385, 0.05373433515128162, 0.13719098487341308, 0.1439023276728717, 0.09570819426412183]","[0.540240747168907, 0.3673080981986951, 0.4473980278632526, 0.3926026056738033, 0.379648755987146]","[54.0240747168907, 8.295774602068635, 13.719098487341308, 14.39023276728717, 9.570819426412184]"
"[0.24528856129024573, 0.055235723117730465, 0.25991551953472414, 0.42061436702567373, 0.10244871098729437]","[0.07246900579418065, 0.13131730632777544, 0.08530544294448661, 0.14150202504141868, 0.07146236499093117]","[0.4101931361028946, 0.3687836707550835, 0.3990125857172301, 0.3711096454578387, 0.5471615416091216]","[7.246900579418066, 13.131730632777543, 35.36416774292739, 37.11096454578387, 7.146236499093117]"
"[0.1573131627616196, 0.4291143534190062, 0.2783964794180155, 0.2782222890588091, 0.33618290923613464]","[0.06016659993155354, 0.062240972087648096, 0.0518586356333446, 0.10129827510050288, 0.13163638562110952]","[0.4751466375724165, 0.514191978221493, 0.3726346348430582, 0.42273778482353497, 0.40134242826835104]","[6.016659993155353, 51.4191978221493, 5.18586356333446, 10.129827510050287, 27.248451111310597]"
"[0.17693409942032173, 0.40924125880799966, 0.23002542717486835, 0.5105920699203359, 0.16451805328462193]","[0.1195485670473615, 0.08235009881035452, 0.09224177609929202, 0.08835474526623512, 0.0841794709838928]","[0.43746778466488034, 0.48103106788635597, 0.5308739282119233, 0.4524818127811214, 0.4136040600843437]","[11.95485670473615, 25.154837308833244, 9.224177609929201, 45.248181278112135, 8.41794709838928]"
"[0.26402034890875375, 0.4985154250871279, 0.11246081548518723, 0.3580490643091088, 0.07454942775659308]","[0.0745473466111669, 0.06724294266709277, 0.10889567486312411, 0.06764695399158127, 0.09897284500148143]","[0.4851738599027492, 0.4980707204717187, 0.35881926187514607, 0.39648859260957586, 0.5205652006414282]","[7.45473466111669, 49.80707204717187, 10.88956748631241, 21.95134130525089, 9.897284500148142]"
"[0.4657164613431858, 0.26447183095430626, 0.47158921431054773, 0.09224347607802792, 0.4214097854608663]","[0.11688127262546637, 0.09168078372545568, 0.10259436760937249, 0.14058885958410672, 0.13217949518232674]","[0.3979015790483858, 0.4190265456844532, 0.5276552301780703, 0.47068343661966033, 0.3855567345735827]","[11.688127262546637, 9.168078372545569, 51.86695888826446, 14.058885958410672, 13.217949518232675]"
"[0.11734428623427208, 0.08639609747182327, 0.4461433484102541, 0.3958997506108411, 0.38311554229435585]","[0.12603432439537113, 0.13952173498439369, 0.0877325943926637, 0.11769641436765245, 0.07901094281953402]","[0.4105148625978793, 0.4891742812306954, 0.5131636190196294, 0.38286991922630154, 0.49710614998809455]","[12.603432439537112, 13.952173498439368, 51.316361901962935, 14.226937878107183, 7.9010942819534025]"
"[0.06735970736154585, 0.05924466611684738, 0.18204024311958733, 0.35763704150792225, 0.3710493275885327]","[0.07118102475635216, 0.1115023633765822, 0.06858606274268395, 0.13911915732469918, 0.07554045696782066]","[0.35786146261967783, 0.4515905748117228, 0.3677234047190302, 0.48966136490764084, 0.46489780042897766]","[7.118102475635216, 11.150236337658221, 6.858606274268395, 28.3832748695404, 46.48978004289776]"
"[0.17176102042989672, 0.19136971043537382, 0.18955303111659744, 0.4249576220605114, 0.1313301325334011]","[0.10340140270078568, 0.13551960692214768, 0.061494980365579745, 0.1251053677700609, 0.06478046685481997]","[0.4182730253970649, 0.39651325181571634, 0.4380185326752511, 0.5112406530303335, 0.40058752885717097]","[10.340140270078567, 25.908249704848114, 6.149498036557975, 51.12406530303335, 6.478046685481997]"
"[0.2370994207193094, 0.4483053414398613, 0.3351226101126609, 0.1045945961298921, 0.32889649547667826]","[0.06690978055942592, 0.12307012847929452, 0.06942283008000752, 0.14385733791442168, 0.09112601683498832]","[0.533134926841291, 0.461418061734422, 0.4417979408186699, 0.4490683332777322, 0.4002602785153062]","[6.690978055942592, 46.1418061734422, 23.66888029567421, 14.385733791442167, 9.112601683498832]"
"[0.10694079344231135, 0.17645369913004194, 0.05894364183719571, 0.432507647321437, 0.06578577696176381]","[0.06143908300289404, 0.07615771436933108, 0.07048816890413359, 0.11661802664411872, 0.12151367014082337]","[0.3506934361297767, 0.42276716295317207, 0.43227016815889613, 0.5342180845006932, 0.4171970324785673]","[6.143908300289404, 21.23409934514557, 7.0488168904133595, 53.42180845006932, 12.151367014082338]"
"[0.14840883883518796, 0.45592271882450813, 0.47500221026730266, 0.0791907638296085, 0.35597637486625394]","[0.131015988647111, 0.14378801406503994, 0.10461738567777495, 0.09686032975439318, 0.1136920819189398]","[0.5464897872664465, 0.36361657753838145, 0.4244819320838575, 0.5416660533112527, 0.43659671776138936]","[13.1015988647111, 23.39496675956987, 42.448193208385746, 9.686032975439318, 11.36920819189398]"
"[0.513181476765057, 0.5348882586226665, 0.0811545361097032, 0.13305377815557662, 0.15125633429558433]","[0.126622587974774, 0.13490750485790337, 0.09572975650998453, 0.12540812447111951, 0.13584341008551934]","[0.4631687527081836, 0.3580205435513329, 0.5040215703806971, 0.5377452436488553, 0.4213156557842507]","[28.499816538204378, 35.802054355133286, 9.572975650998453, 12.540812447111952, 13.584341008551934]"
"[0.27544743912427, 0.45475764885954867, 0.4861486178466321, 0.3387889258480465, 0.4861971308805127]","[0.09358364947825118, 0.08934949392376558, 0.09323800687546807, 0.0801162855228504, 0.06084133466063429]","[0.40843329816786184, 0.5189900751819475, 0.4035007127253684, 0.541997958106555, 0.39014704422944]","[9.358364947825118, 8.934949392376557, 34.680352684569286, 8.011628552285039, 39.014704422944]"
"[0.23089654553443223, 0.3962899076879465, 0.2760723117182263, 0.1221776656826253, 0.13486295886809907]","[0.10231893803161643, 0.0671944768187055, 0.0835279419111589, 0.11888473205851376, 0.14795149964918639]","[0.4361476411327546, 0.546575366080668, 0.35678831123511284, 0.5410165526197687, 0.4842982136940527]","[10.231893803161643, 54.657536608066806, 8.426946418001542, 11.888473205851376, 14.795149964918638]"
"[0.34345609041068, 0.3951169017140478, 0.5474201250333542, 0.41898470344667116, 0.20752675959336264]","[0.06524221597439422, 0.0653234297204717, 0.13593745998313306, 0.14341130412670303, 0.05462603472680695]","[0.5489271973248382, 0.4278085161492, 0.516040792583046, 0.41154449107713437, 0.43705524708520876]","[6.524221597439422, 6.53234297204717, 51.6040792583046, 29.876752699528108, 5.462603472680695]"
"[0.15176902812701293, 0.5096939545970505, 0.5479752397022909, 0.36141027818934274, 0.257019456786961]","[0.14105793865458513, 0.1410351415469871, 0.081290710608891, 0.14996181681004755, 0.08397281309421435]","[0.40294785705235026, 0.5312188114509857, 0.36154038194356275, 0.5493634606326473, 0.5344815615735343]","[14.105793865458512, 26.34670494975903, 36.154038194356275, 14.996181681004755, 8.397281309421436]"
"[0.21448267753242778, 0.383183648342971, 0.1560109881680004, 0.3179103713121988, 0.5435880697557712]","[0.1348016342670363, 0.12995178451882636, 0.1083748615764961, 0.06375626487942053, 0.06681055555683856]","[0.4810554437553761, 0.5371975262579883, 0.4006618627547134, 0.3528601523820609, 0.474463764522536]","[13.480163426703632, 21.86034747545111, 10.83748615764961, 6.375626487942053, 47.4463764522536]"
"[0.5461702692080007, 0.12904211976241137, 0.16639280897592962, 0.09212280014294218, 0.4042444702924196]","[0.14364103484865823, 0.12960770211137432, 0.11911718620144898, 0.07754057048528269, 0.09543911382274659]","[0.5157800858050386, 0.39226610321564176, 0.4587905379733338, 0.4244515990456309, 0.3892241474083769]","[51.57800858050386, 12.960770211137431, 11.911718620144898, 7.754057048528269, 15.795445539685543]"
"[0.4725381361736631, 0.18516667139046855, 0.083891681170373, 0.24290193338456828, 0.47046961063514664]","[0.1353146067738866, 0.09169168166549145, 0.11585209606853071, 0.1290183338712183, 0.05239127279077904]","[0.40116400835416643, 0.4035452185684077, 0.4966198581950897, 0.35757969945612783, 0.3517220255319006]","[40.11640083541664, 9.169168166549145, 11.585209606853072, 12.90183338712183, 26.227388004059318]"
"[0.433469265548774, 0.36769985169918196, 0.4406690773988479, 0.2066822853523792, 0.23352410135220714]","[0.1436094095421126, 0.06318194135753985, 0.13317645863896582, 0.08267730219983664, 0.13868359571095562]","[0.3659093185352797, 0.44893590547635776, 0.3782716765926492, 0.5113253732735009, 0.37492431143692256]","[33.718548413901864, 6.318194135753985, 37.82716765926492, 8.267730219983664, 13.868359571095562]"
"[0.35166413018746256, 0.07375866374144348, 0.19390511461864623, 0.08215353738154542, 0.4884573450502752]","[0.0620880308368523, 0.116879731865237, 0.07377478739295404, 0.12194339632497793, 0.09850707396126616]","[0.3757541015723081, 0.40840091192222555, 0.46563996232605426, 0.4274419338091607, 0.4471156304671011]","[24.02864539497299, 11.687973186523699, 7.3774787392954035, 12.194339632497792, 44.71156304671011]"
"[0.4002098250724031, 0.08257610093328906, 0.3667591167657507, 0.3146610082869839, 0.5023631559131282]","[0.1359558139543221, 0.10619994999600074, 0.09720039855609146, 0.1425647814687122, 0.06918085467584005]","[0.41044501999163696, 0.38423765114844394, 0.38315448606286734, 0.4612226087906849, 0.4688682732730574]","[18.516659670613826, 10.619994999600074, 9.720039855609146, 14.25647814687122, 46.88682732730574]"
"[0.07380291643882271, 0.5021277413704569, 0.38408231234047097, 0.0778372458085116, 0.07196282663834987]","[0.14953540109244023, 0.1295388113777125, 0.07833569444475529, 0.08051131322203467, 0.1443954827028997]","[0.36525438075988503, 0.5424033463092639, 0.530298243177742, 0.4133657966218305, 0.5176150616260795]","[14.953540109244024, 54.24033463092639, 8.315445667336157, 8.051131322203467, 14.43954827028997]"
"[0.23602535271802555, 0.11327443587586579, 0.11219949335712044, 0.16793636606202605, 0.16161556429036078]","[0.1241812498522793, 0.13389990196449997, 0.09560294553616139, 0.07012140220363236, 0.14947005866505]","[0.37348970506288653, 0.5428990327186927, 0.5461774019783466, 0.47407632561218627, 0.5372418307721488]","[37.34897050628865, 13.389990196449997, 9.560294553616139, 24.753738877140208, 14.947005866505]"
"[0.35197284886551344, 0.12001057036038866, 0.34171747315345113, 0.19493831135959327, 0.5360737264760594]","[0.10417576065745364, 0.1036649813641084, 0.1142790530591077, 0.10369205256662187, 0.06475068401308305]","[0.3798812093635715, 0.4951525442879597, 0.4987308836849489, 0.4264906250575399, 0.3639718048219904]","[31.43921081881716, 10.36649813641084, 11.42790530591077, 10.369205256662188, 36.39718048219904]"
"[0.47684109084467363, 0.43705503045732624, 0.5487724707975941, 0.28683848854600436, 0.10089242459716509]","[0.06736044595651955, 0.09553934304959533, 0.07109121438802318, 0.09250447748212401, 0.13248979996778176]","[0.4873556679893167, 0.5134843501253703, 0.49268731502380936, 0.42129253898169017, 0.5078991229141768]","[18.677906447668946, 9.553934304959533, 49.26873150238094, 9.250447748212402, 13.248979996778177]"
"[0.5301922308914749, 0.5002658858343245, 0.33462822592631075, 0.49724819193137104, 0.5443902812235704]","[0.1332295167368685, 0.05939984028148879, 0.0645434165799598, 0.13988352011627356, 0.10414104568498675]","[0.44030275820893566, 0.3813729271774694, 0.533234309502359, 0.41452014338351983, 0.5029411327412615]","[23.32320902810163, 5.93998402814888, 6.45434165799598, 13.988352011627356, 50.294113274126154]"
"[0.1249035233908435, 0.19538745059554674, 0.47429261203674405, 0.368762455905643, 0.13982722566228234]","[0.0764246248696525, 0.11988165198218627, 0.10592260627337527, 0.0715715907470622, 0.1112565686480593]","[0.4792813795070344, 0.41760013514569266, 0.5051907321130849, 0.44077793437128127, 0.5353010510045815]","[7.6424624869652495, 11.988165198218628, 50.51907321130849, 18.724642238701716, 11.12565686480593]"
"[0.49806103448547157, 0.22439739606773995, 0.32483589076204344, 0.11243529608385879, 0.23854648283767077]","[0.0690096431490653, 0.06229670302518001, 0.11834925245136431, 0.12551332336181392, 0.08675941187790527]","[0.4658607273671019, 0.48082871928922327, 0.45366285157019004, 0.38706489394691673, 0.35355670151014557]","[46.586072736710186, 6.229670302518001, 25.95698343679989, 12.551332336181392, 8.675941187790528]"
"[0.4877160477291884, 0.08522656170628169, 0.4863748796829584, 0.5129628791194014, 0.09133835386415524]","[0.1468754044980786, 0.1155900738809629, 0.1238594380391659, 0.13723688554404198, 0.0731093801213995]","[0.4819211632738778, 0.5462402584510787, 0.38326015168712496, 0.45373383944765733, 0.5000535435061928]","[23.37072685108143, 11.55900738809629, 12.38594380391659, 45.373383944765735, 7.3109380121399505]"
"[0.16300428178526188, 0.1401834984830136, 0.471673254357183, 0.3957315133851578, 0.11546594825609176]","[0.09214700681339019, 0.13215741330819736, 0.07191324859411259, 0.10004103526794089, 0.1192125668274184]","[0.4769221227393535, 0.4079423992602962, 0.5423507351244894, 0.37052232048086564, 0.37518276712916715]","[9.21470068133902, 13.215741330819736, 54.23507351244894, 11.413227792650455, 11.92125668274184]"
"[0.1618059376863753, 0.1600546360241144, 0.4273445292221702, 0.30547520596173927, 0.19598642088448004]","[0.07795534157086616, 0.0730609455212026, 0.14481115765503655, 0.08824325774658993, 0.10136312957053831]","[0.44472604306142915, 0.37276965248222244, 0.5056700781473993, 0.5421171687252434, 0.4289007215470205]","[7.795534157086616, 7.30609455212026, 50.56700781473993, 24.19505051899936, 10.13631295705383]"
"[0.214752282100184, 0.24322290198334606, 0.2952813343069884, 0.17762218231076704, 0.487830565741079]","[0.13382903739137714, 0.1496952095835094, 0.08228788325801918, 0.098463058941613, 0.11856203507030069]","[0.48578565124642314, 0.4756797825221244, 0.4701377989824127, 0.4637080162724193, 0.3903583627064848]","[13.382903739137713, 14.969520958350941, 22.765433137701567, 9.8463058941613, 39.035836270648474]"
"[0.15846689091817212, 0.1344156636537298, 0.2844377597905115, 0.4075099669762774, 0.1038084129039036]","[0.05117151114742237, 0.077899882836904, 0.07815016371225095, 0.0723110121910458, 0.0775013564664407]","[0.5302713118791127, 0.5485354813474278, 0.5301164020687603, 0.48103276489582736, 0.5215637247703442]","[5.117151114742237, 7.789988283690399, 31.23944846534055, 48.10327648958273, 7.75013564664407]"
